match_duration,top_kills,top_deaths,top_assists,top_gold,top_vision,top_tower_damage,jg_kills,jg_deaths,jg_assists,jg_gold,jg_vision,jg_tower_damage,mid_kills,mid_deaths,mid_assists,mid_gold,mid_vision,mid_tower_damage,bot_kills,bot_deaths,bot_assists,bot_gold,bot_vision,bot_tower_damage,sup_kills,sup_deaths,sup_assists,sup_gold,sup_vision,sup_tower_damage,team_baron_kills,team_dragon_kills,team_riftHerald_kills,team_kills,team_deaths,team_assists,team_gold,team_vision,team_tower_damage,team_win
955,1,1,1,5304,5,0,5,3,4,6025,10,1223,6,2,2,6193,11,5151,4,3,3,6130,11,2220,0,0,8,4163,20,303,0,2,0,16,9,18,27815,57,8897,1
955,0,2,1,5601,11,5523,5,2,1,7190,16,0,2,6,1,4848,1,4244,2,2,1,5417,1,0,0,4,3,3827,15,0,0,0,0,9,16,7,26883,44,9767,0
969,5,4,1,5615,9,842,2,4,2,5474,14,0,6,3,3,6746,9,0,0,6,1,3672,9,0,1,4,7,4534,18,0,0,0,0,14,21,14,26041,59,842,0
969,4,4,4,7303,12,4317,2,4,3,5139,6,336,6,5,1,6199,8,1764,5,1,6,8018,3,9544,4,0,8,5872,32,1001,0,2,0,21,14,22,32531,61,16962,1
2026,11,8,4,16581,37,12442,11,1,5,15597,24,3951,13,9,11,17140,35,16572,8,7,11,14942,36,6605,1,8,12,8777,30,413,1,4,0,44,33,43,73037,162,39983,1
2026,8,8,6,14121,30,6426,5,10,7,12876,7,0,7,8,8,12281,33,5339,5,9,8,14747,31,7838,8,9,6,10849,51,3951,0,1,0,33,44,35,64874,152,23554,0
1444,0,5,0,6155,14,4139,5,9,3,8770,15,0,2,4,1,6923,16,8532,9,3,3,11776,24,4261,0,8,9,6680,44,1469,0,1,1,16,29,16,40304,113,18401,0
1444,6,1,6,9556,19,8125,8,4,7,9634,30,305,4,4,6,7679,1,1380,4,4,6,9085,15,3815,7,3,11,9287,37,5617,0,2,0,29,16,36,45241,102,19242,1
1284,3,5,3,6839,6,3631,14,1,3,11698,26,6860,2,4,3,7300,16,10442,7,4,9,9169,16,3107,3,1,10,7575,47,3649,0,2,0,29,15,28,42581,111,27689,1
1284,2,6,2,6562,16,0,4,7,2,7719,17,0,7,4,0,8797,8,1987,2,8,2,6704,8,774,0,4,4,5104,16,3107,0,0,1,15,29,10,34886,65,5868,0
1689,5,3,5,9429,17,12388,2,2,14,10392,14,653,11,0,10,11038,24,5438,6,2,14,10131,19,3008,4,0,12,9250,45,3804,1,2,0,28,7,55,50240,119,25291,1
1689,4,6,1,9354,8,9206,2,9,1,8273,39,0,0,2,3,6732,21,1009,1,5,2,7696,24,0,0,6,1,6337,7,1036,0,1,1,7,28,8,38392,99,11251,0
2086,11,4,10,15724,23,24663,14,5,3,17645,21,5489,7,4,16,12619,46,6247,4,7,17,12662,28,3137,3,9,16,10277,16,137,1,4,1,39,29,62,68927,134,39673,1
2086,11,7,2,14826,37,9991,4,10,6,12635,45,4254,4,8,5,11791,16,3788,6,8,7,14836,25,6312,4,6,9,11604,27,3459,0,1,0,29,39,29,65692,150,27804,0
915,2,2,0,5226,10,835,1,6,0,4343,11,533,1,4,1,4651,7,2283,1,1,0,5590,12,2394,0,3,1,3689,8,0,0,0,0,5,16,2,23499,48,6045,0
